object,url
2018.0530-0606_5002_5670_part_.csv,https://west-part-pressure.oss-cn-beijing.aliyuncs.com/2018.0530-0606_5002_5670_part_.csv?Expires=1602224916&OSSAccessKeyId=TMP.3KfdSo4LAfW3PD7fi2h5kcPYU3wq4YuHWNKmzgyYnikTJjUz6HAJQJ57ZjiugeBy2rBPV31uSonkCubdqHahK5mvgYDDJc&Signature=UrHeLUMuJibDZ38mBWqBG%2FdPIR0%3D
2018.0604-0611_1528_2800_part_.csv,https://west-part-pressure.oss-cn-beijing.aliyuncs.com/2018.0604-0611_1528_2800_part_.csv?Expires=1602224916&OSSAccessKeyId=TMP.3KfdSo4LAfW3PD7fi2h5kcPYU3wq4YuHWNKmzgyYnikTJjUz6HAJQJ57ZjiugeBy2rBPV31uSonkCubdqHahK5mvgYDDJc&Signature=X%2FXOu6wyckUFtpJLgcP7rZByJcc%3D
2018.0604-0611_331_936_part_.csv,https://west-part-pressure.oss-cn-beijing.aliyuncs.com/2018.0604-0611_331_936_part_.csv?Expires=1602224916&OSSAccessKeyId=TMP.3KfdSo4LAfW3PD7fi2h5kcPYU3wq4YuHWNKmzgyYnikTJjUz6HAJQJ57ZjiugeBy2rBPV31uSonkCubdqHahK5mvgYDDJc&Signature=%2BD%2B6hVXtLE%2Bgn%2Bg5NuXxvZa2SoI%3D
2018.0604-0611_3700_4254_part_.csv,https://west-part-pressure.oss-cn-beijing.aliyuncs.com/2018.0604-0611_3700_4254_part_.csv?Expires=1602224916&OSSAccessKeyId=TMP.3KfdSo4LAfW3PD7fi2h5kcPYU3wq4YuHWNKmzgyYnikTJjUz6HAJQJ57ZjiugeBy2rBPV31uSonkCubdqHahK5mvgYDDJc&Signature=4XIl5eaIn5l%2FJwPBGlPs7T5UlMo%3D
2018.0604-0611_6338_7424_part_.csv,https://west-part-pressure.oss-cn-beijing.aliyuncs.com/2018.0604-0611_6338_7424_part_.csv?Expires=1602224916&OSSAccessKeyId=TMP.3KfdSo4LAfW3PD7fi2h5kcPYU3wq4YuHWNKmzgyYnikTJjUz6HAJQJ57ZjiugeBy2rBPV31uSonkCubdqHahK5mvgYDDJc&Signature=E1KdLZU47C%2BljBnbraaSRd9f2u0%3D
2018.0604-0611_8312_9138_part_.csv,https://west-part-pressure.oss-cn-beijing.aliyuncs.com/2018.0604-0611_8312_9138_part_.csv?Expires=1602224916&OSSAccessKeyId=TMP.3KfdSo4LAfW3PD7fi2h5kcPYU3wq4YuHWNKmzgyYnikTJjUz6HAJQJ57ZjiugeBy2rBPV31uSonkCubdqHahK5mvgYDDJc&Signature=4RA3z%2B%2B4zHpO1rbhaN9j2NdhV38%3D
2018.0717-0723_3121_4232_part_.csv,https://west-part-pressure.oss-cn-beijing.aliyuncs.com/2018.0717-0723_3121_4232_part_.csv?Expires=1602224916&OSSAccessKeyId=TMP.3KfdSo4LAfW3PD7fi2h5kcPYU3wq4YuHWNKmzgyYnikTJjUz6HAJQJ57ZjiugeBy2rBPV31uSonkCubdqHahK5mvgYDDJc&Signature=dLv3wuzU6F8Tc7SiMvgK0oLRNEs%3D
2018.0717-0723_4331_5306_part_.csv,https://west-part-pressure.oss-cn-beijing.aliyuncs.com/2018.0717-0723_4331_5306_part_.csv?Expires=1602224916&OSSAccessKeyId=TMP.3KfdSo4LAfW3PD7fi2h5kcPYU3wq4YuHWNKmzgyYnikTJjUz6HAJQJ57ZjiugeBy2rBPV31uSonkCubdqHahK5mvgYDDJc&Signature=M8DviQWdf8Vub72nYZcDr3buKXY%3D
2018.0717-0723_7589_8713_part_.csv,https://west-part-pressure.oss-cn-beijing.aliyuncs.com/2018.0717-0723_7589_8713_part_.csv?Expires=1602224916&OSSAccessKeyId=TMP.3KfdSo4LAfW3PD7fi2h5kcPYU3wq4YuHWNKmzgyYnikTJjUz6HAJQJ57ZjiugeBy2rBPV31uSonkCubdqHahK5mvgYDDJc&Signature=RmKjscIb%2FVqneh14KXtTgTSE%2BVs%3D
2018.0717-0723_8774_9688_part_.csv,https://west-part-pressure.oss-cn-beijing.aliyuncs.com/2018.0717-0723_8774_9688_part_.csv?Expires=1602224916&OSSAccessKeyId=TMP.3KfdSo4LAfW3PD7fi2h5kcPYU3wq4YuHWNKmzgyYnikTJjUz6HAJQJ57ZjiugeBy2rBPV31uSonkCubdqHahK5mvgYDDJc&Signature=hy7moj%2F9e9nnAy6%2B8LYQd29w1Ik%3D
