0,1
-0.109,53.8
0.0,53.6
0.178,53.5
0.339,53.5
0.373,53.4
0.441,53.1
0.461,52.7
0.348,52.4
0.127,52.2
-0.18,52.0
-0.588,52.0
-1.055,52.4
-1.421,53.0
-1.52,54.0
-1.302,54.9
-0.814,56.0
-0.475,56.8
-0.193,56.8
0.088,56.4
0.435,55.7
0.771,55.0
0.866,54.3
0.875,53.2
0.891,52.3
0.987,51.6
1.263,51.2
1.775,50.8
1.976,50.5
1.934,50.0
1.866,49.2
1.832,48.4
1.767,47.9
1.608,47.6
1.265,47.5
0.79,47.5
0.36,47.6
0.115,48.1
0.088,49.0
0.331,50.0
0.645,51.1
0.96,51.8
1.409,51.9
2.67,51.7
2.834,51.2
2.812,50.0
2.483,48.3
1.929,47.0
1.485,45.8
1.214,45.6
1.239,46.0
1.608,46.9
1.905,47.8
2.023,48.2
1.815,48.3
0.535,47.9
0.122,47.2
0.009,47.2
0.164,48.1
0.671,49.4
1.019,50.6
1.146,51.5
1.155,51.6
1.112,51.2
1.121,50.5
1.223,50.1
1.257,49.8
1.157,49.6
0.913,49.4
0.62,49.3
0.255,49.2
-0.28,49.3
-1.08,49.7
-1.551,50.3
-1.799,51.3
-1.825,52.8
-1.456,54.4
-0.944,56.0
-0.57,56.9
-0.431,57.5
-0.577,57.3
-0.96,56.6
-1.616,56.0
-1.875,55.4
-1.891,55.4
-1.746,56.4
-1.474,57.2
-1.201,58.0
-0.927,58.4
-0.524,58.4
0.04,58.1
0.788,57.7
0.943,57.0
0.93,56.0
1.006,54.7
1.137,53.2
1.198,52.1
1.054,51.6
0.595,51.0
-0.08,50.5
-0.314,50.4
-0.288,51.0
-0.153,51.8
-0.109,52.4
-0.187,53.0
-0.255,53.4
-0.229,53.6
-0.007,53.7
0.254,53.8
0.33,53.8
0.102,53.8
-0.423,53.3
-1.139,53.0
-2.275,52.9
-2.594,53.4
-2.716,54.6
-2.51,56.4
-1.79,58.0
-1.346,59.4
-1.081,60.2
-0.91,60.0
-0.876,59.4
-0.885,58.4
-0.8,57.6
-0.544,56.9
-0.416,56.4
-0.271,56.0
0.0,55.7
0.403,55.3
0.841,55.0
1.285,54.4
1.607,53.7
1.746,52.8
1.683,51.6
1.485,50.6
0.993,49.4
0.648,48.8
0.577,48.5
0.577,48.7
0.632,49.2
0.747,49.8
0.9,50.4
0.993,50.7
0.968,50.9
0.79,50.7
0.399,50.5
-0.161,50.4
-0.553,50.2
-0.603,50.4
