,0,1,2,3,4,5,6
0,-1.2025481,0.80914798,1.1288873,-1.0502806,-1.1789349,0.54410528,-0.51069
1,-1.0376562,0.77104422,0.8896268,-1.0341026,-1.1683415,0.74624647,-0.49802531
2,-1.2978936,0.74081908,1.173476,-1.0517094,-1.1807047,0.90506886,-0.95225453
3,-1.4891817,0.70727663,1.3000625,-1.0512297,-1.17495,0.98059666,-0.95661297
4,-1.1645402,0.72799879,0.92484838,-1.0372686,-1.1637948,1.0724938,-0.64892118
5,-1.2372686,0.66262127,1.0729233,-1.0495624,-1.1691048,1.1997063,-1.0860196
6,-1.1930288,0.68757309,1.0613735,-1.0511598,-1.1710526,1.2861457,-1.1363981
7,-1.2057904,0.71364644,0.92603895,-1.0332926,-1.1665114,1.2635028,-0.83469327
8,-1.3018338,0.72165988,1.0202778,-1.0260533,-1.1689571,1.3282577,-1.0852232
9,-1.1966353,0.65910126,1.0841061,-1.0573897,-1.1766728,1.4348293,-1.2367658
10,-1.2767174,0.67236984,1.0846846,-1.0504866,-1.1782569,1.4177423,-1.2058243
11,-1.0380277,0.71112875,0.82712695,-1.0287139,-1.1621187,1.4802038,-1.0781136
12,-1.1589315,0.71200985,0.97063328,-1.0425109,-1.161888,1.47706,-1.0744609
13,-1.188011,0.67244814,1.0852072,-1.052457,-1.1774985,1.5056755,-1.224596
14,-1.1576329,0.71593831,1.014476,-1.045064,-1.1751102,1.5104148,-1.2189377
15,-1.2351131,0.69976403,0.88732711,-1.0035378,0.86249676,1.5225764,-1.1412434
16,-1.3587316,0.70723673,1.1283303,-1.0285259,0.84575844,1.5490687,-0.75771265
17,-1.0054007,0.8423227,0.80870268,-1.0123246,0.85828235,1.5342929,0.26359846
18,-1.3361225,0.80606532,0.98650568,-0.99729803,0.85704595,1.4710929,0.18679722
19,-1.352251,0.92122655,1.0200832,-0.9902021,0.84712881,1.5110641,0.39068998
20,-1.2443679,0.89371023,1.0823704,-1.0182523,0.84833188,1.506545,0.47386581
21,-1.1501015,0.87519688,1.1413051,-1.0481701,0.83521625,1.575741,0.36567232
22,-1.0576452,0.90098572,0.99930042,-1.0231692,0.84541581,1.5147978,0.87592986
23,-1.1930896,0.90469297,1.1172402,-1.0303151,0.83814923,1.4953896,0.6119935
24,-1.0193862,0.86838342,1.0333857,-1.0424767,0.83710477,1.5917144,0.70309434
25,-1.8943002,1.1559092,0.94046901,1.1808739,0.88679977,1.4666692,0.71766742
26,-1.4507268,0.72064751,0.85006565,1.0958536,0.89495142,1.2732548,0.85618275
27,-1.0942231,0.20117832,0.99267461,0.9835574,0.8779909,0.93553616,0.45305512
28,-0.94535032,-0.3312945,1.2363237,0.86040958,0.86368333,0.59470419,0.098051869
29,-0.76942868,-0.79388264,1.5367354,0.74029258,0.85701041,0.33804873,0.11538244
30,-0.41548336,-1.2022571,1.3558384,0.68575391,0.86515282,0.12122907,0.24767289
31,-0.5385938,-1.4344837,1.9272488,0.58002206,0.83147657,-0.069336514,0.13808925
32,-0.61452224,-1.5434559,2.0116183,0.56521959,0.83703419,-0.24004718,0.06384315
33,-0.12864182,-1.6463457,1.9368915,0.49791001,0.81765271,-0.31986294,0.39574605
34,-0.033074151,-1.705486,2.0082188,0.4818406,0.80489438,-0.39485193,0.55244312
35,0.35786793,-1.9957057,2.5547803,-1.7610207,0.74521798,-0.49928362,0.14812291
36,-0.15530708,-1.326894,2.4717711,-1.6089854,0.75608838,-0.53933182,0.57288739
37,0.068357739,-0.67150129,1.5762515,-1.4250913,0.78631956,-0.39456517,2.1430486
38,-0.80495786,-0.24713783,1.816943,-1.3143134,0.80757006,-0.35744744,1.5853574
39,-0.77899687,0.16545286,1.3198606,-1.1865547,0.82539058,-0.24588153,2.0426809
40,-0.86978973,0.50995274,0.80744755,-1.0568061,0.8516351,-0.13273027,2.2171449
41,-1.3076701,0.64440922,0.95853797,-1.0064324,0.86238241,-0.023628063,1.9096215
42,-1.130294,0.80745084,0.75575787,-0.97943089,0.85905832,0.24750226,1.6363046
43,-1.3641811,0.80042121,1.0341468,-1.002412,0.85509152,0.52044803,0.92135194
44,-1.0992548,0.82256757,0.91609739,-1.0103489,0.85061431,0.74530317,1.0134256
45,-1.650094,1.0379679,0.8343542,1.1351804,-1.1281296,0.88019925,0.78158089
46,-0.94526285,0.65288178,0.3498584,1.09381,-1.1151683,0.78432192,0.70940358
47,-0.73675454,0.10792897,0.3575152,1.0078768,-1.1099304,0.44119205,-0.27704197
48,-0.673583,-0.41473874,0.67542523,0.89921951,-1.1207775,0.074749111,-0.88877494
49,-0.66975912,-0.95947694,0.97913766,0.79885912,-1.1321699,-0.26483608,-1.1868207
50,-0.70155235,-1.2029893,1.1486732,0.7404356,-1.1359965,-0.55953518,-1.3895214
51,-0.90506148,-1.3768884,1.4214016,0.70868107,-1.1361345,-0.79380832,-1.5595909
52,-0.96610168,-1.5187331,1.5990522,0.6723328,-1.1420082,-1.0090934,-1.5069329
53,-0.98361299,-1.6210955,1.7094884,0.6456378,-1.1462087,-1.173757,-1.4296198
54,-0.96888506,-1.6765927,1.7931416,0.61867707,-1.1513644,-1.2935134,-1.2571379
55,-0.4024004,-1.8433439,1.6026993,-1.4764981,0.84979935,-1.3368612,-0.66995493
56,-0.47534868,-1.7217822,1.4570748,-1.4346519,0.85520157,-1.2183901,0.4022932
57,-0.51203065,-1.5782445,1.0461028,-1.3489551,0.88233074,-0.98885501,1.5096304
58,-0.76867433,-1.4731588,0.97225311,-1.2762765,0.8967369,-0.84418505,1.6891713
59,-0.90961964,-1.3735514,0.65707202,-1.2025375,0.91809658,-0.66739687,1.9594483
60,-1.0719446,-1.3018486,0.53408959,-1.1572155,0.9374021,-0.53649774,1.985315
61,-1.2051177,-1.2399624,0.34235014,-1.0946429,0.95567882,-0.4106805,2.0310611
62,-1.0292851,-1.1703611,-0.075264176,-1.0334056,0.97554831,-0.27682044,2.2343262
63,-1.3841205,-1.1721669,-0.069621159,-0.99163943,0.99172616,-0.21135434,1.9551721
64,-1.4872687,-1.1236427,-0.15401568,-0.9582505,1.0061929,-0.11901377,1.9675082
65,-2.0544763,-0.92279214,-0.46857039,1.2592664,1.0649359,-0.049817846,1.8593147
66,-1.7813793,-0.95821185,-0.53698004,1.2260706,1.0531104,-0.043893383,1.5854647
67,-1.8880453,-1.0856731,-0.076449522,1.1475199,1.0286148,-0.17191378,0.66056708
68,-1.8251569,-1.2218993,0.34175061,1.047632,0.99945839,-0.34631425,0.056598857
69,-1.4800433,-1.2284906,0.33382055,1.001794,0.98906836,-0.43663197,0.47581871
70,-1.1236476,-1.2710111,0.25447489,0.96855667,0.97441638,-0.50274177,0.55817304
71,-1.0780002,-1.3784958,0.6336203,0.88556994,0.94312312,-0.59933424,0.2003407
72,-0.98242227,-1.3844509,0.74533873,0.8675249,0.94084207,-0.68186091,0.24062873
73,-0.7550048,-1.4082707,0.83963947,0.81289246,0.91911715,-0.72059185,0.4080609
74,-0.84754846,-1.4536018,1.2124498,0.74063343,0.90278,-0.79921592,0.14608809
75,-0.93038366,-1.4659337,1.4982775,0.70034912,0.87651248,-0.86655578,0.1492879
76,-0.73600656,-0.844632,1.241102,0.79292318,0.87823196,-0.85904141,0.6022614
77,-0.95280769,-0.37717177,1.444714,0.82046153,0.85035646,-0.90108596,0.32566242
78,-0.79764298,-0.011624332,1.2793039,0.86799139,0.84956999,-0.95144686,0.18670269
79,-0.61238826,0.31473071,1.3104326,0.86824298,0.82936095,-0.88384906,0.6978449
80,-0.87911914,0.52563516,1.5908694,0.86991272,0.81062362,-0.92240104,0.36994675
81,-1.1200555,0.61816014,1.9935982,0.83541221,0.79520175,-0.98533393,-0.13552661
82,-0.92034399,0.74336974,1.918091,0.84345831,0.7878041,-0.96897739,0.51299989
83,-0.47794127,0.89606807,1.6218833,0.84011997,0.77904381,-0.88280907,0.57701429
84,-0.66086578,0.89772241,1.9563726,0.81127511,0.76849,-0.92655104,0.15777739
85,-0.55369757,0.9319924,2.2006355,0.73678767,-1.2795165,-0.93082624,0.14884557
86,-0.27493584,0.93206881,1.9223741,0.763065,-1.2674476,-0.93675466,0.10841627
87,-0.26581239,0.92296106,1.871626,0.75485786,-1.2690429,-1.0114228,-0.45565156
88,-0.40814629,0.87493582,1.9793168,0.75060279,-1.2736346,-1.1134658,-0.79051798
89,-0.47732839,0.86457223,1.9724509,0.76022061,-1.2647487,-1.2110815,-1.0497167
90,-0.59242811,0.79944529,2.0656122,0.7632278,-1.2641392,-1.3028295,-1.2018069
91,-0.53180011,0.76939617,2.061264,0.74807105,-1.2608691,-1.3697797,-1.2018701
92,-0.76251123,0.77583337,2.1532907,0.76861677,-1.2568605,-1.4387622,-1.2302559
93,-0.66050308,0.74555186,2.0619524,0.758065,-1.2542652,-1.4803659,-1.1735639
94,-0.5015947,0.81805236,1.7932305,0.7906567,-1.2444324,-1.4970394,-0.78704629
95,-0.11746228,0.53162596,1.8900382,-1.3467164,0.74300373,-1.4962568,-0.72681531
96,-1.1089459,0.61885714,2.5339302,-1.3176625,0.74050934,-1.4957621,-0.6856171
97,-0.20230361,0.84911541,1.2598754,-1.1945862,0.77824645,-1.1932076,1.9639734
98,-0.73584001,0.90853667,1.2920291,-1.1225203,0.79915157,-0.96899613,1.8592472
99,-0.89465777,0.98136699,1.0167161,-1.0507891,0.82921514,-0.80564679,1.9504007
100,-0.72731395,1.0277234,0.67463969,-1.0038738,0.84471295,-0.4977085,2.535473
101,-1.5262799,0.94395517,1.2575851,-1.0062479,0.84249464,-0.33742334,1.3729752
102,-0.79559308,0.91864293,0.77196709,-1.0220356,0.84401764,0.11487622,1.8264733
